Indicator;Country;Description;Unit;Base Year;2015;2016;2017;2018;2019;2020;2021;2022
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[A]  - Agriculture, forestry and fishing;billion Dong;-;751 429.9;779 266.8;813 794.3;862 579.6;908 257.2;1 018 049.5;1 065 077.5;1 129 908.1
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[B]  - Mining and quarrying;billion Dong;-;220 782.2;187 960.6;206 361.1;246 235.6;231 037.0;192 839.9;206 521.0;268 076.3
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[C]  - Manufacturing;billion Dong;-;1 088 106.2;1 211 808.8;1 424 129.6;1 637 814.6;1 833 289.9;1 926 408.6;2 087 476.0;2 355 434.3
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[D-E]  - Electricity and water supply;billion Dong;-;187 511.2;212 745.7;245 529.2;277 338.7;320 648.9;354 263.9;377 765.7;426 506.9
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[F]  - Construction;billion Dong;-;282 487.8;311 379.5;351 415.9;399 885.6;451 515.7;482 293.6;506 097.1;589 712.3
Tabel 1. GDP by Industry at Current Prices;Viet Nam;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Dong;-;474 414.3;518 742.7;577 449.8;641 081.1;720 032.2;771 378.6;792 232.2;915 472.6
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[H]  - Transportation and storage;billion Dong;-;255 872.3;285 975.2;307 396.1;346 806.9;387 361.0;386 954.6;377 834.4;442 374.4
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[I]  - Accommodation and food service activities;billion Dong;-;150 435.8;164 539.6;185 010.2;203 010.5;226 488.3;181 550.1;147 109.0;216 155.7
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[J]  - Information and communication;billion Dong;-;203 272.7;221 553.3;238 918.5;258 756.4;281 613.2;291 247.8;306 295.2;334 272.4
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[K]  - Financial and insurance activities;billion Dong;-;232 142.1;251 570.9;276 885.2;305 143.7;338 245.4;357 696.6;400 825.3;452 546.0
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[L-N]  - Real estate, Renting and Business Activities;billion Dong;-;440 225.9;475 861.8;510 388.3;541 949.9;583 855.1;584 400.0;578 377.9;641 036.7
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[O-U]  - Public administration and Other Services Activities;billion Dong;-;434 012.7;498 492.9;583 942.1;659 028.9;735 554.4;791 832.3;891 616.5;930 592.3
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[B1g]  - Equals: GROSS VALUE ADDED;billion Dong;-;4 720 692.9;5 119 897.9;5 721 220.2;6 379 631.5;7 017 898.2;7 338 915.4;7 737 227.7;8 702 088.1
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[D21D]  - Plus: Taxes less Subsidies on products;billion Dong;-;470 630.8;519 503.1;572 684.4;629 410.6;689 302.1;705 470.3;742 438.8;811 239.0
Tabel 1. GDP by Industry at Current Prices;Viet Nam;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Dong;-;5 191 323.7;5 639 401.0;6 293 904.6;7 009 042.1;7 707 200.3;8 044 385.7;8 479 666.5;9 513 327.0
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[A]  - Agriculture, forestry and fishing;billion Dollar (B $);2010;00.02;00.02;00.02;00.01;00.01;00.02;00.02;00.02
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[B]  - Mining and quarrying;billion Dollar (B $);2010;08.04;08.01;08.00;07.09;08.03;07.09;07.06;07.02
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[C]  - Manufacturing;billion Dollar (B $);2010;02.07;02.07;03.00;02.09;03.01;03.09;03.06;03.05
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[D-E]  - Electricity and water supply;billion Dollar (B $);2010;00.02;00.02;00.02;00.02;00.02;00.02;00.02;00.02
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[F]  - Construction;billion Dollar (B $);2010;00.05;00.04;00.05;00.05;00.05;00.05;00.05;00.05
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Dollar (B $);2010;00.09;00.09;00.09;00.09;01.00;01.00;01.01;01.01
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[H]  - Transportation and storage;billion Dollar (B $);2010;00.03;00.03;00.03;00.03;00.03;00.03;00.03;00.03
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[I]  - Accommodation and food service activities;billion Dollar (B $);2010;00.02;00.02;00.02;00.02;00.02;00.02;00.02;00.02
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[J]  - Information and communication;billion Dollar (B $);2010;00.04;00.04;00.04;00.04;00.04;00.04;00.05;00.05
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[K]  - Financial and insurance activities;billion Dollar (B $);2010;00.09;01.00;01.00;00.09;01.00;01.00;01.00;01.00
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[L-N]  - Real estate, Renting and Business Activities;billion Dollar (B $);2010;01.01;01.01;01.01;01.01;01.01;01.01;01.02;01.02
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[O-U]  - Public administration and Other Services Activities;billion Dollar (B $);2010;03.02;03.01;03.01;03.01;03.02;03.01;03.01;03.03
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[B1g]  - Equals: GROSS VALUE ADDED;billion Dollar (B $);2010;18.09;18.05;18.07;18.07;19.05;19.07;19.04;19.01
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[D21D]  - Plus: Taxes less Subsidies on products;billion Dollar (B $);2010;-0.4;-0.3;-0.3;-0.3;-0.4;-0.4;-0.4;-0.4
Tabel 2. GDP by Industry at Constant Prices;Brunei Darussalam;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Dollar (B $);2010;18.06;18.01;18.04;18.04;19.01;19.03;19.00;18.07
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[A]  - Agriculture, forestry and fishing;billion Riel;2000;9 119.9;9 240.6;9 401.2;9 504.5;9 453.9;9 512.3;9 614.9;9 690.3
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[B]  - Mining and quarrying;billion Riel;2000;517.00.00;614.09.00;720.05.00;836.03.00;1 009.9;1 199.6;1 436.9;1 666.1
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[C]  - Manufacturing;billion Riel;2000;9 875.3;10 571.2;11 252.6;12 275.6;13 102.0;12 742.5;14 194.3;15 772.2
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[D-E]  - Electricity and water supply;billion Riel;2000;278.02.00;302.03.00;328.04.00;356.05.00;386.04.00;376.07.00;377.08.00;384.05.00
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[F]  - Construction;billion Riel;2000;3 089.1;3 724.4;4 394.3;5 165.0;6 237.5;6 126.2;6 194.5;6 226.8
Tabel 2. GDP by Industry at Constant Prices;Cambodia;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Riel;2000;3 854.6;4 101.1;4 369.0;4 641.9;4 945.4;4 678.9;4 751.6;4 976.4
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[H]  - Transportation and storage;billion Riel;2000;1 340.7;1 341.2;1 341.5;1 341.6;1 342.0;1 226.9;1 141.0;1 155.5
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[I]  - Accommodation and food service activities;billion Riel;2000;2 203.4;2 260.4;2 393.7;2 526.2;2 603.6;1 765.0;1 067.2;1 258.0
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[J]  - Information and communication;billion Riel;2000;1 451.5;1 667.3;1 907.2;2 165.9;2 460.5;2 496.9;2 650.8;2 696.1
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[K]  - Financial and insurance activities;billion Riel;2000;976.02.00;1 053.7;1 134.4;1 219.9;1 316.0;1 300.8;1 317.1;1 332.5
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[L-N]  - Real estate, Renting and Business Activities;billion Riel;2000;2 855.2;3 137.4;3 409.2;3 698.2;3 957.7;3 758.8;3 779.3;3 786.2
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[O-U]  - Public administration and Other Services Activities;billion Riel;2000;4 345.1;4 620.6;4 902.3;5 178.9;5 432.1;5 454.5;5 541.7;5 630.9
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[B1g]  - Equals: GROSS VALUE ADDED;billion Riel;2000;39 906.0;42 635.0;45 554.3;48 910.3;52 246.9;50 639.1;52 067.1;54 575.3
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[D21D]  - Plus: Taxes less Subsidies on products;billion Riel;2000;3 103.3;3 334.4;3 708.2;4 045.8;4 331.2;4 187.3;4 431.4;4 654.2
Tabel 2. GDP by Industry at Constant Prices;Cambodia;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Riel;2000;43 009.3;45 969.4;49 262.5;52 956.2;56 578.1;54 826.4;56 498.5;59 229.5
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[A]  - Agriculture, forestry and fishing;billion Rupiah (Rp);2010;1 171 445.8;1 210 955.5;1 258 375.7;1 307 253.0;1 354 399.1;1 378 398.9;1 404 190.9;1 435 853.3
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[B]  - Mining and quarrying;billion Rupiah (Rp);2010;767 327.2;774 593.1;779 678.4;796 505.0;806 206.2;790 475.2;822 099.5;858 146.6
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[C]  - Manufacturing;billion Rupiah (Rp);2010;1 934 533.2;2 016 876.9;2 103 466.1;2 193 368.4;2 276 667.8;2 209 920.3;2 284 821.7;2 396 603.0
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[D-E]  - Electricity and water supply;billion Rupiah (Rp);2010;102 263.8;107 644.5;109 536.6;115 538.0;120 441.6;118 275.7;124 780.4;132 692.0
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[F]  - Construction;billion Rupiah (Rp);2010;879 163.9;925 040.3;987 924.9;1 048 082.8;1 108 425.0;1 072 334.8;1 102 517.7;1 124 725.2
Tabel 2. GDP by Industry at Constant Prices;Indonesia;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Rupiah (Rp);2010;1 207 164.5;1 255 760.8;1 311 746.5;1 376 878.7;1 440 185.7;1 385 651.2;1 449 831.4;1 529 885.6
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[H]  - Transportation and storage;billion Rupiah (Rp);2010;348 855.9;374 843.4;406 679.4;435 336.5;463 125.9;393 418.9;406 169.3;486 874.9
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[I]  - Accommodation and food service activities;billion Rupiah (Rp);2010;268 922.4;282 823.4;298 129.7;315 068.6;333 304.6;299 122.4;310 748.6;347 943.8
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[J]  - Information and communication;billion Rupiah (Rp);2010;421 769.8;459 208.1;503 420.7;538 762.7;589 536.1;652 062.9;696 506.1;750 389.2
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[K]  - Financial and insurance activities;billion Rupiah (Rp);2010;347 269.0;378 279.4;398 971.4;415 620.6;443 093.1;457 486.5;464 637.7;473 615.0
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[L-N]  - Real estate, Renting and Business Activities;billion Rupiah (Rp);2010;415 375.1;438 822.2;462 332.3;487 339.3;523 837.3;519 930.5;530 389.6;553 413.9
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[O-U]  - Public administration and Other Services Activities;billion Rupiah (Rp);2010;835 444.7;872 850.3;910 997.4;973 139.2;1 039 388.0;1 054 555.0;1 072 772.5;1 107 318.0
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[B1g]  - Equals: GROSS VALUE ADDED;billion Rupiah (Rp);2010;8 699 535.3;9 097 697.9;9 531 259.1;10 002 892.8;10 498 610.4;10 331 632.3;10 669 465.4;11 197 460.5
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[D21D]  - Plus: Taxes less Subsidies on products;billion Rupiah (Rp);2010;282 981.8;336 915.5;381 669.0;422 959.1;450 545.0;391 367.0;450 612.5;512 937.3
Tabel 2. GDP by Industry at Constant Prices;Indonesia;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Rupiah (Rp);2010;8 982 517.1;9 434 613.4;9 912 928.1;10 425 851.9;10 949 155.4;10 722 999.3;11 120 077.9;11 710 397.8
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[A]  - Agriculture, forestry and fishing;billion Kip;2012;16 790.9;17 254.1;17 749.9;17 974.8;18 193.9;18 404.2;18 855.5;19 487.5
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[B]  - Mining and quarrying;billion Kip;2012;10 616.8;11 051.6;10 579.2;9 891.0;9 884.7;8 233.3;8 362.3;8 596.0
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[C]  - Manufacturing;billion Kip;2012;8 697.6;8 970.8;9 368.1;9 952.8;10 620.8;11 985.8;12 348.1;12 927.0
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[D-E]  - Electricity and water supply;billion Kip;2012;7 132.5;9 824.0;12 929.9;14 410.7;14 149.4;16 999.7;18 499.1;18 999.0
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[F]  - Construction;billion Kip;2012;6 292.1;6 820.2;8 046.2;9 864.1;11 936.3;13 661.4;14 776.7;15 834.3
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Kip;2012;13 621.6;14 515.7;15 565.8;17 231.4;18 658.4;18 898.6;19 210.0;19 991.2
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[H]  - Transportation and storage;billion Kip;2012;1 481.9;1 605.9;1 715.4;1 797.9;1 943.9;1 887.7;1 897.2;2 442.8
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[I]  - Accommodation and food service activities;billion Kip;2012;3 198.9;3 162.0;3 010.0;3 242.1;3 501.5;1 574.2;1 175.0;1 275.8
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[J]  - Information and communication;billion Kip;2012;1 931.6;2 012.9;2 100.0;2 303.5;2 466.2;2 677.9;2 851.8;3 007.7
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[K]  - Financial and insurance activities;billion Kip;2012;2 288.1;2 466.3;2 703.9;2 969.8;3 217.3;3 256.8;3 353.1;3 467.1
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[L-N]  - Real estate, Renting and Business Activities;billion Kip;2012;8 553.5;8 919.0;9 224.6;9 707.8;10 487.6;10 772.6;10 916.8;11 310.0
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[O-U]  - Public administration and Other Services Activities;billion Kip;2012;10 914.5;11 261.5;11 562.0;11 791.6;12 133.9;12 714.9;13 089.3;13 608.5
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[B1g]  - Equals: GROSS VALUE ADDED;billion Kip;2012;91 519.9;97 863.9;104 554.9;111 137.7;117 193.8;121 067.0;125 334.9;130 946.7
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[D21D]  - Plus: Taxes less Subsidies on products;billion Kip;2012;10 247.7;11 050.9;11 821.9;12 557.9;13 252.9;13 653.5;14 073.4;14 627.4
Tabel 2. GDP by Industry at Constant Prices;Lao PDR;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Kip;2012;101 767.6;108 914.8;116 376.8;123 695.6;130 446.6;134 720.4;139 408.4;145 574.1
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[A]  - Agriculture, forestry and fishing;billion Ringgit (RM);2015;97.05.00;94.00.00;99.05.00;99.06.00;101.06.00;99.01.00;99.00.00;99.01.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[B]  - Mining and quarrying;billion Ringgit (RM);2015;103.01.00;105.04.00;105.08.00;103.06.00;102.09.00;92.09.00;93.07.00;96.02.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[C]  - Manufacturing;billion Ringgit (RM);2015;262.04.00;273.09.00;290.05.00;304.08.00;316.03.00;307.06.00;336.08.00;364.01.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[D-E]  - Electricity and water supply;billion Ringgit (RM);2015;31.07.00;33.04.00;34.04.00;36.01.00;38.03.00;38.00.00;39.00.00;40.03.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[F]  - Construction;billion Ringgit (RM);2015;55.04.00;59.05.00;63.05.00;66.02.00;66.05.00;53.06.00;50.09.00;53.04.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Ringgit (RM);2015;184.00.00;195.07.00;209.09.00;227.02.00;242.07.00;228.06.00;233.01.00;264.05.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[H]  - Transportation and storage;billion Ringgit (RM);2015;42.01.00;44.05.00;47.02.00;50.02.00;53.06.00;42.01.00;42.07.00;55.08.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[I]  - Accommodation and food service activities;billion Ringgit (RM);2015;36.02.00;38.08.00;41.07.00;45.05.00;49.08.00;36.05.00;32.07.00;43.05.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[J]  - Information and communication;billion Ringgit (RM);2015;62.03.00;67.03.00;73.01.00;79.01.00;84.02.00;89.02.00;94.06.00;99.06.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[K]  - Financial and insurance activities;billion Ringgit (RM);2015;78.06.00;80.07.00;84.05.00;89.01.00;93.04.00;96.01.00;105.08.00;106.07.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[L-N]  - Real estate, Renting and Business Activities;billion Ringgit (RM);2015;51.04.00;55.00.00;59.01.00;63.07.00;68.08.00;58.08.00;53.01.00;65.01.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[O-U]  - Public administration and Other Services Activities;billion Ringgit (RM);2015;157.05.00;165.02.00;173.03.00;182.01.00;189.07.00;188.05.00;193.04.00;205.07.00
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[B1g]  - Equals: GROSS VALUE ADDED;billion Ringgit (RM);2015;1 162.2;1 213.3;1 282.7;1 347.2;1 407.8;1 330.9;1 375.0;1 494.2
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[D21D]  - Plus: Taxes less Subsidies on products;billion Ringgit (RM);2015;14.07;16.00;18.01;16.05;16.02;15.03;15.06;16.08
Tabel 2. GDP by Industry at Constant Prices;Malaysia;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Ringgit (RM);2015;1 176.9;1 229.3;1 300.8;1 363.8;1 424.0;1 346.3;1 390.6;1 510.9
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[A]  - Agriculture, forestry and fishing;billion Kyat;2010/2011, 2015/2016;15 768.8;19 841.1;19 548.6;19 562.2;19 872.3;20 197.1;20 406.7;21 146.2
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[B]  - Mining and quarrying;billion Kyat;2010/2011, 2015/2016;699.03.00;3 921.4;4 048.2;4 095.9;4 183.8;4 074.5;3 601.7;3 286.5
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[C]  - Manufacturing;billion Kyat;2010/2011, 2015/2016;11 370.5;15 818.0;17 374.7;19 092.9;20 942.4;21 938.8;20 144.4;20 694.4
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[D-E]  - Electricity and water supply;billion Kyat;2010/2011, 2015/2016;633.03.00;1 072.5;1 158.5;1 282.5;1 379.6;1 425.9;1 343.5;1 282.6
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[F]  - Construction;billion Kyat;2010/2011, 2015/2016;2 955.9;4 356.5;4 779.8;5 168.1;5 620.2;5 904.9;5 037.3;5 104.8
Tabel 2. GDP by Industry at Constant Prices;Myanmar;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Kyat;2010/2011, 2015/2016;9 690.3;14 202.4;15 274.7;16 477.9;17 773.4;18 561.6;17 573.6;18 087.2
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[H]  - Transportation and storage;billion Kyat;2010/2011, 2015/2016;6 610.0;8 513.6;9 142.3;9 890.6;10 690.4;10 766.3;9 497.6;10 104.1
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[I]  - Accommodation and food service activities;billion Kyat;2010/2011, 2015/2016;222.03.00;327.05.00;359.06.00;403.08.00;452.04.00;480.09.00;359.05.00;369.05.00
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[J]  - Information and communication;billion Kyat;2010/2011, 2015/2016;2 185.7;1 598.2;1 808.7;2 067.1;2 316.1;2 548.1;2 636.2;2 697.3
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[K]  - Financial and insurance activities;billion Kyat;2010/2011, 2015/2016;180.03.00;198.02.00;277.03.00;352.01.00;392.07.00;422.04.00;404.00.00;427.00.00
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[L-N]  - Real estate, Renting and Business Activities;billion Kyat;2010/2011, 2015/2016;394.04.00;635.08.00;672.07.00;707.04.00;739.04.00;741.04.00;699.04.00;554.01.00
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[O-U]  - Public administration and Other Services Activities;billion Kyat;2010/2011, 2015/2016;2 074.2;3 730.6;4 038.2;4 409.7;4 784.6;4 909.8;4 857.8;5 221.9
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[B1g]  - Equals: GROSS VALUE ADDED;billion Kyat;2010/2011, 2015/2016;52 785.1;74 215.7;78 483.2;83 510.0;89 147.3;91 971.6;86 561.8;88 975.6
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[D21D]  - Plus: Taxes less Subsidies on products;billion Kyat;2010/2011, 2015/2016;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 2. GDP by Industry at Constant Prices;Myanmar;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Kyat;2010/2011, 2015/2016;52 785.1;74 215.7;78 483.2;83 510.0;89 147.3;91 971.6;86 561.8;88 975.6
Tabel 2. GDP by Industry at Constant Prices;Philippines;[A]  - Agriculture, forestry and fishing;billion Peso (PhP);2018;1 688.3;1 672.1;1 743.1;1 762.6;1 783.9;1 780.4;1 775.2;1 783.5
Tabel 2. GDP by Industry at Constant Prices;;[B]  - Mining and quarrying;billion Peso (PhP);2018;148.06.00;156.08.00;160.01.00;163.03.00;168.09.00;137.05.00;144.05.00;152.02.00
Tabel 2. GDP by Industry at Constant Prices;;[C]  - Manufacturing;billion Peso (PhP);2018;2 874.3;3 070.9;3 317.6;3 488.3;3 620.5;3 266.3;3 556.4;3 730.4
Tabel 2. GDP by Industry at Constant Prices;;[D-E]  - Electricity and water supply;billion Peso (PhP);2018;458.08.00;500.05.00;523.02.00;557.00.00;591.03.00;589.02.00;615.06.00;647.03.00
Tabel 2. GDP by Industry at Constant Prices;;[F]  - Construction;billion Peso (PhP);2018;1 011.8;1 133.1;1 201.7;1 373.8;1 507.2;1 122.3;1 235.1;1 384.9
Tabel 2. GDP by Industry at Constant Prices;;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Peso (PhP);2018;2 670.3;2 861.1;3 057.6;3 237.3;3 489.3;3 275.5;3 413.9;3 710.9
Tabel 2. GDP by Industry at Constant Prices;;[H]  - Transportation and storage;billion Peso (PhP);2018;548.00.00;604.03.00;648.02.00;697.08.00;742.03.00;515.01.00;547.08.00;678.06.00
Tabel 2. GDP by Industry at Constant Prices;;[I]  - Accommodation and food service activities;billion Peso (PhP);2018;297.03.00;332.06.00;371.02.00;403.03.00;425.07.00;231.08.00;248.04.00;328.02.00
Tabel 2. GDP by Industry at Constant Prices;;[J]  - Information and communication;billion Peso (PhP);2018;436.07.00;462.09.00;483.07.00;515.09.00;557.00.00;585.02.00;639.00.00;689.09.00
Tabel 2. GDP by Industry at Constant Prices;;[K]  - Financial and insurance activities;billion Peso (PhP);2018;1 172.0;1 275.7;1 382.5;1 498.2;1 676.5;1 770.0;1 854.3;1 986.7
Tabel 2. GDP by Industry at Constant Prices;;[L-N]  - Real estate, Renting and Business Activities;billion Peso (PhP);2018;1 898.1;2 080.3;2 246.3;2 348.9;2 420.6;2 100.0;2 190.7;2 350.3
Tabel 2. GDP by Industry at Constant Prices;;[O-U]  - Public administration and Other Services Activities;billion Peso (PhP);2018;1 786.8;1 912.4;2 040.8;2 218.6;2 399.6;2 164.5;2 319.2;2 500.9
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS VALUE ADDED;billion Peso (PhP);2018;14 990.9;16 062.7;17 176.0;18 265.2;19 382.8;17 537.8;18 540.1;19 943.6
Tabel 2. GDP by Industry at Constant Prices;;[D21D]  - Plus: Taxes less Subsidies on products;billion Peso (PhP);2018;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Peso (PhP);2018;14 990.9;16 062.7;17 176.0;18 265.2;19 382.8;17 537.8;18 540.1;19 943.6
Tabel 2. GDP by Industry at Constant Prices;Singapore;[A]  - Agriculture, forestry and fishing;billion Dollar (S $);in chained, 2015;00.01;00.01;00.01;00.01;00.02;00.01;00.02;00.02
Tabel 2. GDP by Industry at Constant Prices;;[B]  - Mining and quarrying;billion Dollar (S $);in chained, 2015;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 2. GDP by Industry at Constant Prices;;[C]  - Manufacturing;billion Dollar (S $);in chained, 2015;76.06.00;79.04.00;87.07.00;93.09.00;92.05.00;99.05.00;112.07.00;115.05.00
Tabel 2. GDP by Industry at Constant Prices;;[D-E]  - Electricity and water supply;billion Dollar (S $);in chained, 2015;05.08;05.09;05.09;05.09;05.09;05.08;06.00;06.01
Tabel 2. GDP by Industry at Constant Prices;;[F]  - Construction;billion Dollar (S $);in chained, 2015;20.04;20.03;19.03;19.03;19.03;11.02;13.05;14.04
Tabel 2. GDP by Industry at Constant Prices;;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Dollar (S $);in chained, 2015;65.06.00;66.03.00;67.08.00;69.08.00;70.06.00;69.00.00;75.08.00;78.04.00
Tabel 2. GDP by Industry at Constant Prices;;[H]  - Transportation and storage;billion Dollar (S $);in chained, 2015;30.00.00;31.00.00;32.06.00;32.09.00;32.09.00;27.07.00;30.05.00;31.07.00
Tabel 2. GDP by Industry at Constant Prices;;[I]  - Accommodation and food service activities;billion Dollar (S $);in chained, 2015;08.08;09.01;09.02;09.05;09.04;07.01;06.09;07.08
Tabel 2. GDP by Industry at Constant Prices;;[J]  - Information and communication;billion Dollar (S $);in chained, 2015;16.02;17.05;18.03;19.04;21.07;24.02.00;27.05.00;29.08.00
Tabel 2. GDP by Industry at Constant Prices;;[K]  - Financial and insurance activities;billion Dollar (S $);in chained, 2015;49.09.00;50.05.00;54.02.00;57.05.00;61.04.00;65.03.00;70.07.00;71.07.00
Tabel 2. GDP by Industry at Constant Prices;;[L-N]  - Real estate, Renting and Business Activities;billion Dollar (S $);in chained, 2015;80.08.00;84.05.00;86.07.00;89.01.00;87.04.00;78.09.00;80.04.00;86.00.00
Tabel 2. GDP by Industry at Constant Prices;;[O-U]  - Public administration and Other Services Activities;billion Dollar (S $);in chained, 2015;45.00.00;46.05.00;47.09.00;48.09.00;50.03.00;46.00.00;48.05.00;51.01.00
