T09;Public expenditure on education (as of 2021);;;
140;Central African Republic;2008;Public expenditure on education (% of GDP);1.3
140;Central African Republic;2010;Capital expenditure as % of total expenditure in public institutions (%);1.1
140;Central African Republic;2010;Public expenditure on education (% of GDP);1.1
140;Central African Republic;2015;Public expenditure on education (% of GDP);1.9
140;Central African Republic;2021;Public expenditure on education (% of GDP);1.9
148;Chad;2005;Public expenditure on education (% of GDP);1.7
148;Chad;2010;Capital expenditure as % of total expenditure in public institutions (%);31.3
148;Chad;2010;Public expenditure on education (% of GDP);2.0
148;Chad;2012;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);2.6
148;Chad;2012;All staff compensation as % of total expenditure in public institutions (%);75.5
148;Chad;2012;Capital expenditure as % of total expenditure in public institutions (%);21.9
148;Chad;2012;Public expenditure on education (% of GDP);2.2
148;Chad;2015;Public expenditure on education (% of GDP);2.3
148;Chad;2021;Basic access to computers by level of education: Primary;0.0
148;Chad;2021;Basic access to computers by level of education: Lower secondary;8
148;Chad;2021;Basic access to computers by level of education: Upper secondary;12
148;Chad;2021;Public expenditure on education (% of GDP);2.9
152;Chile;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.5
152;Chile;2005;All staff compensation as % of total expenditure in public institutions (%);78.1
152;Chile;2005;Capital expenditure as % of total expenditure in public institutions (%);4.4
152;Chile;2005;Public expenditure on education (% of GDP);3.3
152;Chile;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.1
152;Chile;2009;All staff compensation as % of total expenditure in public institutions (%);78.9
152;Chile;2009;Capital expenditure as % of total expenditure in public institutions (%);3.0
152;Chile;2009;Public expenditure on education (% of GDP);4.3
152;Chile;2010;Public expenditure on education (% of GDP);4.2
152;Chile;2015;Basic access to computers by level of education: Primary;63.9
152;Chile;2015;Public expenditure on education (% of GDP);4.9
152;Chile;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.7
152;Chile;2019;All staff compensation as % of total expenditure in public institutions (%);68.0
152;Chile;2019;Capital expenditure as % of total expenditure in public institutions (%);5.3
152;Chile;2019;Basic access to computers by level of education: Primary;51.6
152;Chile;2019;Public expenditure on education (% of GDP);5.6
156;China;2010;Public expenditure on education (% of GDP);3.8
156;China;2015;Public expenditure on education (% of GDP);3.8
156;China;2018;Basic access to computers by level of education: Primary;97.1
156;China;2018;Basic access to computers by level of education: Lower secondary;99
156;China;2018;Basic access to computers by level of education: Upper secondary;96
156;China;2018;Public expenditure on education (% of GDP);3.5
156;China;2021;Basic access to computers by level of education: Primary;98.6
156;China;2021;Basic access to computers by level of education: Lower secondary;99
156;China;2021;Basic access to computers by level of education: Upper secondary;96
344;China, Hong Kong SAR;2005;Public expenditure on education (% of GDP);4.1
344;China, Hong Kong SAR;2010;Capital expenditure as % of total expenditure in public institutions (%);12.7
344;China, Hong Kong SAR;2010;Public expenditure on education (% of GDP);3.5
344;China, Hong Kong SAR;2012;Capital expenditure as % of total expenditure in public institutions (%);18.2
344;China, Hong Kong SAR;2012;Public expenditure on education (% of GDP);3.5
344;China, Hong Kong SAR;2015;Basic access to computers by level of education: Primary;90.9
344;China, Hong Kong SAR;2015;Public expenditure on education (% of GDP);3.3
344;China, Hong Kong SAR;2021;Basic access to computers by level of education: Primary;100.0
344;China, Hong Kong SAR;2021;Basic access to computers by level of education: Lower secondary;100
344;China, Hong Kong SAR;2021;Basic access to computers by level of education: Upper secondary;100
344;China, Hong Kong SAR;2021;Public expenditure on education (% of GDP);4.0
446;China, Macao SAR;2005;Public expenditure on education (% of GDP);2.3
446;China, Macao SAR;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.5
446;China, Macao SAR;2010;All staff compensation as % of total expenditure in public institutions (%);39.0
446;China, Macao SAR;2010;Capital expenditure as % of total expenditure in public institutions (%);41.5
446;China, Macao SAR;2010;Public expenditure on education (% of GDP);2.6
446;China, Macao SAR;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.7
446;China, Macao SAR;2015;All staff compensation as % of total expenditure in public institutions (%);59.1
446;China, Macao SAR;2015;Capital expenditure as % of total expenditure in public institutions (%);9.2
446;China, Macao SAR;2015;Public expenditure on education (% of GDP);3.0
446;China, Macao SAR;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.5
446;China, Macao SAR;2020;All staff compensation as % of total expenditure in public institutions (%);63.4
446;China, Macao SAR;2020;Capital expenditure as % of total expenditure in public institutions (%);17.0
446;China, Macao SAR;2020;Basic access to computers by level of education: Primary;100.0
446;China, Macao SAR;2020;Basic access to computers by level of education: Lower secondary;100
446;China, Macao SAR;2020;Basic access to computers by level of education: Upper secondary;100
446;China, Macao SAR;2020;Public expenditure on education (% of GDP);6.4
446;China, Macao SAR;2021;Basic access to computers by level of education: Primary;100.0
446;China, Macao SAR;2021;Basic access to computers by level of education: Lower secondary;100
446;China, Macao SAR;2021;Basic access to computers by level of education: Upper secondary;100
170;Colombia;2005;Public expenditure on education (% of GDP);4.0
170;Colombia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.8
170;Colombia;2010;All staff compensation as % of total expenditure in public institutions (%);71.0
170;Colombia;2010;Capital expenditure as % of total expenditure in public institutions (%);22.3
170;Colombia;2010;Public expenditure on education (% of GDP);4.8
170;Colombia;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.2
170;Colombia;2013;All staff compensation as % of total expenditure in public institutions (%);66.4
170;Colombia;2013;Capital expenditure as % of total expenditure in public institutions (%);27.4
170;Colombia;2013;Basic access to computers by level of education: Primary;93.8
170;Colombia;2013;Public expenditure on education (% of GDP);4.9
170;Colombia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);5.8
170;Colombia;2015;All staff compensation as % of total expenditure in public institutions (%);69.0
170;Colombia;2015;Capital expenditure as % of total expenditure in public institutions (%);25.2
170;Colombia;2015;Public expenditure on education (% of GDP);4.5
170;Colombia;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);3.7
170;Colombia;2020;All staff compensation as % of total expenditure in public institutions (%);83.1
170;Colombia;2020;Capital expenditure as % of total expenditure in public institutions (%);13.1
170;Colombia;2020;Basic access to computers by level of education: Primary;81.2
170;Colombia;2020;Basic access to computers by level of education: Lower secondary;93
170;Colombia;2020;Basic access to computers by level of education: Upper secondary;95
170;Colombia;2020;Public expenditure on education (% of GDP);5.2
170;Colombia;2021;Basic access to computers by level of education: Primary;91.5
170;Colombia;2021;Basic access to computers by level of education: Lower secondary;96
170;Colombia;2021;Basic access to computers by level of education: Upper secondary;96
174;Comoros;2002;Public expenditure on education (% of GDP);2.3
174;Comoros;2008;Public expenditure on education (% of GDP);4.4
174;Comoros;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);4.8
174;Comoros;2015;All staff compensation as % of total expenditure in public institutions (%);95.2
174;Comoros;2015;Public expenditure on education (% of GDP);2.5
174;Comoros;2017;Basic access to computers by level of education: Primary;30.8
174;Comoros;2017;Basic access to computers by level of education: Lower secondary;41
174;Comoros;2017;Basic access to computers by level of education: Upper secondary;52
178;Congo;2005;Public expenditure on education (% of GDP);1.7
178;Congo;2010;Public expenditure on education (% of GDP);5.7
178;Congo;2015;Public expenditure on education (% of GDP);3.3
178;Congo;2018;Basic access to computers by level of education: Primary;12.2
178;Congo;2018;Basic access to computers by level of education: Lower secondary;20
178;Congo;2018;Basic access to computers by level of education: Upper secondary;61
178;Congo;2018;Public expenditure on education (% of GDP);3.0
178;Congo;2021;Public expenditure on education (% of GDP);3.9
184;Cook Islands;2000;Public expenditure on education (% of GDP);1.9
184;Cook Islands;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.3
184;Cook Islands;2015;All staff compensation as % of total expenditure in public institutions (%);82.4
184;Cook Islands;2015;Capital expenditure as % of total expenditure in public institutions (%);1.3
184;Cook Islands;2015;Public expenditure on education (% of GDP);3.9
184;Cook Islands;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.0
184;Cook Islands;2016;All staff compensation as % of total expenditure in public institutions (%);63.3
184;Cook Islands;2016;Capital expenditure as % of total expenditure in public institutions (%);2.6
184;Cook Islands;2016;Basic access to computers by level of education: Primary;100.0
184;Cook Islands;2016;Basic access to computers by level of education: Lower secondary;100
184;Cook Islands;2016;Basic access to computers by level of education: Upper secondary;100
184;Cook Islands;2016;Public expenditure on education (% of GDP);4.4
184;Cook Islands;2021;Basic access to computers by level of education: Primary;100.0
184;Cook Islands;2021;Basic access to computers by level of education: Lower secondary;100
184;Cook Islands;2021;Basic access to computers by level of education: Upper secondary;100
184;Cook Islands;2021;Public expenditure on education (% of GDP);4.6
188;Costa Rica;2004;Public expenditure on education (% of GDP);4.9
188;Costa Rica;2010;Public expenditure on education (% of GDP);6.6
188;Costa Rica;2013;Basic access to computers by level of education: Primary;72.9
188;Costa Rica;2013;Public expenditure on education (% of GDP);6.7
188;Costa Rica;2015;Public expenditure on education (% of GDP);6.9
188;Costa Rica;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.7
188;Costa Rica;2020;All staff compensation as % of total expenditure in public institutions (%);71.7
188;Costa Rica;2020;Capital expenditure as % of total expenditure in public institutions (%);3.6
188;Costa Rica;2020;Basic access to computers by level of education: Primary;96.8
188;Costa Rica;2020;Basic access to computers by level of education: Lower secondary;87
188;Costa Rica;2020;Basic access to computers by level of education: Upper secondary;86
188;Costa Rica;2020;Public expenditure on education (% of GDP);6.7
384;CÙte díIvoire;2005;Public expenditure on education (% of GDP);2.9
384;CÙte díIvoire;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.8
384;CÙte díIvoire;2010;All staff compensation as % of total expenditure in public institutions (%);71.2
384;CÙte díIvoire;2010;Capital expenditure as % of total expenditure in public institutions (%);7.0
384;CÙte díIvoire;2010;Public expenditure on education (% of GDP);3.2
384;CÙte díIvoire;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.4
384;CÙte díIvoire;2015;All staff compensation as % of total expenditure in public institutions (%);72.7
384;CÙte díIvoire;2015;Capital expenditure as % of total expenditure in public institutions (%);5.9
384;CÙte díIvoire;2015;Public expenditure on education (% of GDP);3.5
384;CÙte díIvoire;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.4
384;CÙte díIvoire;2019;All staff compensation as % of total expenditure in public institutions (%);82.6
384;CÙte díIvoire;2019;Capital expenditure as % of total expenditure in public institutions (%);4.0
384;CÙte díIvoire;2019;Basic access to computers by level of education: Upper secondary;86
384;CÙte díIvoire;2019;Public expenditure on education (% of GDP);3.5
384;CÙte díIvoire;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.0
384;CÙte díIvoire;2020;All staff compensation as % of total expenditure in public institutions (%);77.7
384;CÙte díIvoire;2020;Capital expenditure as % of total expenditure in public institutions (%);8.4
384;CÙte díIvoire;2020;Basic access to computers by level of education: Primary;7.3
384;CÙte díIvoire;2020;Basic access to computers by level of education: Lower secondary;47
384;CÙte díIvoire;2020;Public expenditure on education (% of GDP);3.9
384;CÙte díIvoire;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.6
384;CÙte díIvoire;2021;All staff compensation as % of total expenditure in public institutions (%);81.5
384;CÙte díIvoire;2021;Capital expenditure as % of total expenditure in public institutions (%);4.9
384;CÙte díIvoire;2021;Public expenditure on education (% of GDP);3.5
191;Croatia;2005;Public expenditure on education (% of GDP);5.1
191;Croatia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.0
191;Croatia;2010;All staff compensation as % of total expenditure in public institutions (%);70.6
191;Croatia;2010;Capital expenditure as % of total expenditure in public institutions (%);6.4
191;Croatia;2010;Public expenditure on education (% of GDP);4.2
191;Croatia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.3
191;Croatia;2015;All staff compensation as % of total expenditure in public institutions (%);69.3
191;Croatia;2015;Capital expenditure as % of total expenditure in public institutions (%);4.4
191;Croatia;2015;Basic access to computers by level of education: Primary;13.5
191;Croatia;2015;Public expenditure on education (% of GDP);4.9
191;Croatia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.1
191;Croatia;2019;All staff compensation as % of total expenditure in public institutions (%);71.9
191;Croatia;2019;Capital expenditure as % of total expenditure in public institutions (%);6.9
191;Croatia;2019;Basic access to computers by level of education: Primary;22.1
191;Croatia;2019;Public expenditure on education (% of GDP);3.9
192;Cuba;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.3
192;Cuba;2005;All staff compensation as % of total expenditure in public institutions (%);52.6
192;Cuba;2005;Capital expenditure as % of total expenditure in public institutions (%);13.2
192;Cuba;2005;Public expenditure on education (% of GDP);10.6
192;Cuba;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);40.5
192;Cuba;2010;All staff compensation as % of total expenditure in public institutions (%);58.6
192;Cuba;2010;Capital expenditure as % of total expenditure in public institutions (%);0.9
192;Cuba;2010;Basic access to computers by level of education: Primary;100.0
192;Cuba;2010;Basic access to computers by level of education: Lower secondary;100
192;Cuba;2010;Basic access to computers by level of education: Upper secondary;100
192;Cuba;2010;Public expenditure on education (% of GDP);12.8
192;Cuba;2020;Basic access to computers by level of education: Primary;100.0
192;Cuba;2020;Basic access to computers by level of education: Lower secondary;100
192;Cuba;2020;Basic access to computers by level of education: Upper secondary;100
192;Cuba;2020;Public expenditure on education (% of GDP);0.0
192;Cuba;2021;Basic access to computers by level of education: Primary;100.0
192;Cuba;2021;Basic access to computers by level of education: Lower secondary;100
192;Cuba;2021;Basic access to computers by level of education: Upper secondary;100
531;CuraÁao;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.9
531;CuraÁao;2013;All staff compensation as % of total expenditure in public institutions (%);86.1
531;CuraÁao;2013;Public expenditure on education (% of GDP);5.1
531;CuraÁao;2015;Public expenditure on education (% of GDP);7.4
531;CuraÁao;2020;Public expenditure on education (% of GDP);7.7
196;Cyprus;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.8
196;Cyprus;2005;All staff compensation as % of total expenditure in public institutions (%);76.9
196;Cyprus;2005;Capital expenditure as % of total expenditure in public institutions (%);13.4
196;Cyprus;2005;Public expenditure on education (% of GDP);6.3
196;Cyprus;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.5
196;Cyprus;2010;All staff compensation as % of total expenditure in public institutions (%);77.5
196;Cyprus;2010;Capital expenditure as % of total expenditure in public institutions (%);11.0
196;Cyprus;2010;Public expenditure on education (% of GDP);6.5
196;Cyprus;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.0
196;Cyprus;2015;All staff compensation as % of total expenditure in public institutions (%);82.9
196;Cyprus;2015;Capital expenditure as % of total expenditure in public institutions (%);4.1
196;Cyprus;2015;Basic access to computers by level of education: Primary;87.9
196;Cyprus;2015;Public expenditure on education (% of GDP);6.3
196;Cyprus;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.6
196;Cyprus;2019;All staff compensation as % of total expenditure in public institutions (%);83.0
196;Cyprus;2019;Capital expenditure as % of total expenditure in public institutions (%);3.4
196;Cyprus;2019;Basic access to computers by level of education: Primary;78.9
196;Cyprus;2019;Public expenditure on education (% of GDP);5.2
203;Czechia;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.4
203;Czechia;2005;All staff compensation as % of total expenditure in public institutions (%);56.0
203;Czechia;2005;Capital expenditure as % of total expenditure in public institutions (%);9.7
203;Czechia;2005;Public expenditure on education (% of GDP);3.9
203;Czechia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);38.4
203;Czechia;2010;All staff compensation as % of total expenditure in public institutions (%);51.5
203;Czechia;2010;Capital expenditure as % of total expenditure in public institutions (%);10.1
203;Czechia;2010;Public expenditure on education (% of GDP);4.0
203;Czechia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);56.6
203;Czechia;2015;All staff compensation as % of total expenditure in public institutions (%);35.5
203;Czechia;2015;Capital expenditure as % of total expenditure in public institutions (%);7.9
203;Czechia;2015;Basic access to computers by level of education: Primary;67.8
203;Czechia;2015;Public expenditure on education (% of GDP);5.8
203;Czechia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);33.6
203;Czechia;2019;All staff compensation as % of total expenditure in public institutions (%);55.4
203;Czechia;2019;Capital expenditure as % of total expenditure in public institutions (%);11.0
203;Czechia;2019;Basic access to computers by level of education: Primary;61.2
203;Czechia;2019;Public expenditure on education (% of GDP);4.5
180;Dem. Rep. of the Congo;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);2.6
180;Dem. Rep. of the Congo;2010;All staff compensation as % of total expenditure in public institutions (%);87.8
180;Dem. Rep. of the Congo;2010;Capital expenditure as % of total expenditure in public institutions (%);9.6
180;Dem. Rep. of the Congo;2010;Public expenditure on education (% of GDP);1.5
180;Dem. Rep. of the Congo;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);1.7
180;Dem. Rep. of the Congo;2013;All staff compensation as % of total expenditure in public institutions (%);81.4
180;Dem. Rep. of the Congo;2013;Capital expenditure as % of total expenditure in public institutions (%);16.9
180;Dem. Rep. of the Congo;2013;Public expenditure on education (% of GDP);2.1
180;Dem. Rep. of the Congo;2015;Basic access to computers by level of education: Primary;0.0
180;Dem. Rep. of the Congo;2015;Basic access to computers by level of education: Lower secondary;0
180;Dem. Rep. of the Congo;2015;Basic access to computers by level of education: Upper secondary;0
180;Dem. Rep. of the Congo;2015;Public expenditure on education (% of GDP);2.2
180;Dem. Rep. of the Congo;2021;Public expenditure on education (% of GDP);2.7
208;Denmark;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.7
208;Denmark;2005;All staff compensation as % of total expenditure in public institutions (%);74.1
208;Denmark;2005;Capital expenditure as % of total expenditure in public institutions (%);5.3
208;Denmark;2005;Basic access to computers by level of education: Primary;100.0
208;Denmark;2005;Basic access to computers by level of education: Lower secondary;100
208;Denmark;2005;Public expenditure on education (% of GDP);8.1
208;Denmark;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.0
208;Denmark;2010;All staff compensation as % of total expenditure in public institutions (%);74.9
208;Denmark;2010;Capital expenditure as % of total expenditure in public institutions (%);7.1
208;Denmark;2010;Basic access to computers by level of education: Primary;100.0
208;Denmark;2010;Basic access to computers by level of education: Lower secondary;100
208;Denmark;2010;Public expenditure on education (% of GDP);8.6
208;Denmark;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.9
208;Denmark;2014;All staff compensation as % of total expenditure in public institutions (%);73.7
208;Denmark;2014;Capital expenditure as % of total expenditure in public institutions (%);6.4
208;Denmark;2014;Basic access to computers by level of education: Primary;100.0
208;Denmark;2014;Basic access to computers by level of education: Lower secondary;100
208;Denmark;2014;Public expenditure on education (% of GDP);7.6
208;Denmark;2015;Basic access to computers by level of education: Primary;100.0
208;Denmark;2015;Basic access to computers by level of education: Lower secondary;100
208;Denmark;2015;Basic access to computers by level of education: Upper secondary;100
208;Denmark;2015;Public expenditure on education (% of GDP);7.0
208;Denmark;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.0
208;Denmark;2016;All staff compensation as % of total expenditure in public institutions (%);71.2
208;Denmark;2016;Capital expenditure as % of total expenditure in public institutions (%);8.8
208;Denmark;2016;Basic access to computers by level of education: Primary;100.0
208;Denmark;2016;Basic access to computers by level of education: Lower secondary;100
208;Denmark;2016;Public expenditure on education (% of GDP);7.5
208;Denmark;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.6
208;Denmark;2019;All staff compensation as % of total expenditure in public institutions (%);72.6
208;Denmark;2019;Capital expenditure as % of total expenditure in public institutions (%);6.8
208;Denmark;2019;Public expenditure on education (% of GDP);6.9
262;Djibouti;2005;All staff compensation as % of total expenditure in public institutions (%);42.2
262;Djibouti;2005;Capital expenditure as % of total expenditure in public institutions (%);2.7
262;Djibouti;2005;Public expenditure on education (% of GDP);8.4
262;Djibouti;2007;All staff compensation as % of total expenditure in public institutions (%);38.8
262;Djibouti;2007;Capital expenditure as % of total expenditure in public institutions (%);4.6
262;Djibouti;2007;Public expenditure on education (% of GDP);8.4
262;Djibouti;2010;Public expenditure on education (% of GDP);4.5
262;Djibouti;2015;Public expenditure on education (% of GDP);3.6
262;Djibouti;2018;Public expenditure on education (% of GDP);3.8
212;Dominica;2010;Basic access to computers by level of education: Primary;71.0
212;Dominica;2010;Basic access to computers by level of education: Lower secondary;93
212;Dominica;2012;All staff compensation as % of total expenditure in public institutions (%);100.0
212;Dominica;2012;Public expenditure on education (% of GDP);4.4
212;Dominica;2015;Public expenditure on education (% of GDP);3.4
212;Dominica;2021;Basic access to computers by level of education: Primary;100.0
212;Dominica;2021;Basic access to computers by level of education: Lower secondary;100
212;Dominica;2021;Basic access to computers by level of education: Upper secondary;100
212;Dominica;2021;Public expenditure on education (% of GDP);5.5
212;Dominica;2022;Public expenditure on education (% of GDP);5.2
214;Dominican Republic;2003;Public expenditure on education (% of GDP);1.8
214;Dominican Republic;2007;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.5
214;Dominican Republic;2007;All staff compensation as % of total expenditure in public institutions (%);66.9
214;Dominican Republic;2007;Capital expenditure as % of total expenditure in public institutions (%);17.6
214;Dominican Republic;2007;Public expenditure on education (% of GDP);2.0
214;Dominican Republic;2013;Basic access to computers by level of education: Primary;46.5
214;Dominican Republic;2013;Public expenditure on education (% of GDP);3.6
214;Dominican Republic;2015;Public expenditure on education (% of GDP);3.6
214;Dominican Republic;2021;Public expenditure on education (% of GDP);3.7
218;Ecuador;2000;Public expenditure on education (% of GDP);1.2
218;Ecuador;2009;Basic access to computers by level of education: Primary;52.0
218;Ecuador;2009;Basic access to computers by level of education: Lower secondary;87
218;Ecuador;2009;Basic access to computers by level of education: Upper secondary;94
218;Ecuador;2009;Public expenditure on education (% of GDP);4.3
218;Ecuador;2010;Public expenditure on education (% of GDP);4.5
218;Ecuador;2013;Basic access to computers by level of education: Primary;72.6
218;Ecuador;2013;Public expenditure on education (% of GDP);5.0
218;Ecuador;2015;Public expenditure on education (% of GDP);5.0
218;Ecuador;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.2
218;Ecuador;2021;All staff compensation as % of total expenditure in public institutions (%);84.5
218;Ecuador;2021;Capital expenditure as % of total expenditure in public institutions (%);3.3
218;Ecuador;2021;Basic access to computers by level of education: Primary;72.8
218;Ecuador;2021;Basic access to computers by level of education: Lower secondary;87
218;Ecuador;2021;Basic access to computers by level of education: Upper secondary;89
218;Ecuador;2021;Public expenditure on education (% of GDP);3.7
818;Egypt;2005;Public expenditure on education (% of GDP);4.8
818;Egypt;2010;Basic access to computers by level of education: Primary;86.3
818;Egypt;2010;Basic access to computers by level of education: Lower secondary;98
818;Egypt;2010;Basic access to computers by level of education: Upper secondary;91
818;Egypt;2010;Public expenditure on education (% of GDP);3.5
818;Egypt;2015;Public expenditure on education (% of GDP);3.9
818;Egypt;2017;Basic access to computers by level of education: Primary;78.3
818;Egypt;2017;Basic access to computers by level of education: Lower secondary;95
818;Egypt;2017;Basic access to computers by level of education: Upper secondary;91
818;Egypt;2019;Basic access to computers by level of education: Primary;94.7
222;El Salvador;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);27.3
222;El Salvador;2005;All staff compensation as % of total expenditure in public institutions (%);66.9
222;El Salvador;2005;Capital expenditure as % of total expenditure in public institutions (%);5.8
222;El Salvador;2005;Public expenditure on education (% of GDP);3.2
222;El Salvador;2008;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);37.8
222;El Salvador;2008;All staff compensation as % of total expenditure in public institutions (%);51.7
222;El Salvador;2008;Capital expenditure as % of total expenditure in public institutions (%);10.5
222;El Salvador;2008;Public expenditure on education (% of GDP);4.5
222;El Salvador;2010;Basic access to computers by level of education: Primary;59.0
222;El Salvador;2010;Basic access to computers by level of education: Lower secondary;81
222;El Salvador;2010;Basic access to computers by level of education: Upper secondary;97
222;El Salvador;2010;Public expenditure on education (% of GDP);4.0
222;El Salvador;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.0
222;El Salvador;2015;All staff compensation as % of total expenditure in public institutions (%);67.1
222;El Salvador;2015;Capital expenditure as % of total expenditure in public institutions (%);6.2
222;El Salvador;2015;Public expenditure on education (% of GDP);3.9
222;El Salvador;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);25.0
222;El Salvador;2016;All staff compensation as % of total expenditure in public institutions (%);68.0
222;El Salvador;2016;Capital expenditure as % of total expenditure in public institutions (%);7.0
222;El Salvador;2016;Basic access to computers by level of education: Primary;48.3
222;El Salvador;2016;Basic access to computers by level of education: Lower secondary;68
222;El Salvador;2016;Public expenditure on education (% of GDP);3.8
222;El Salvador;2018;Capital expenditure as % of total expenditure in public institutions (%);6.7
222;El Salvador;2018;Basic access to computers by level of education: Primary;61.0
222;El Salvador;2018;Basic access to computers by level of education: Lower secondary;79
222;El Salvador;2018;Basic access to computers by level of education: Upper secondary;96
222;El Salvador;2018;Public expenditure on education (% of GDP);3.6
222;El Salvador;2019;All staff compensation as % of total expenditure in public institutions (%);94.1
222;El Salvador;2019;Capital expenditure as % of total expenditure in public institutions (%);5.9
222;El Salvador;2019;Public expenditure on education (% of GDP);3.4
222;El Salvador;2021;Public expenditure on education (% of GDP);4.6
226;Equatorial Guinea;2021;Public expenditure on education (% of GDP);0.3
232;Eritrea;2004;Public expenditure on education (% of GDP);3.1
232;Eritrea;2006;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.7
232;Eritrea;2006;All staff compensation as % of total expenditure in public institutions (%);57.7
232;Eritrea;2006;Capital expenditure as % of total expenditure in public institutions (%);19.6
232;Eritrea;2006;Public expenditure on education (% of GDP);2.1
233;Estonia;2005;Basic access to computers by level of education: Primary;99.3
233;Estonia;2005;Public expenditure on education (% of GDP);4.8
233;Estonia;2010;Basic access to computers by level of education: Primary;100.0
233;Estonia;2010;Public expenditure on education (% of GDP);5.5
233;Estonia;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.9
233;Estonia;2013;All staff compensation as % of total expenditure in public institutions (%);57.7
233;Estonia;2013;Capital expenditure as % of total expenditure in public institutions (%);13.4
233;Estonia;2013;Basic access to computers by level of education: Primary;99.2
233;Estonia;2013;Public expenditure on education (% of GDP);4.8
233;Estonia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.9
233;Estonia;2015;All staff compensation as % of total expenditure in public institutions (%);64.8
233;Estonia;2015;Capital expenditure as % of total expenditure in public institutions (%);8.4
233;Estonia;2015;Public expenditure on education (% of GDP);5.1
233;Estonia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.2
233;Estonia;2019;All staff compensation as % of total expenditure in public institutions (%);63.9
233;Estonia;2019;Capital expenditure as % of total expenditure in public institutions (%);11.9
233;Estonia;2019;Public expenditure on education (% of GDP);5.3
748;Eswatini;2005;Public expenditure on education (% of GDP);6.5
748;Eswatini;2010;Public expenditure on education (% of GDP);6.1
748;Eswatini;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);36.2
748;Eswatini;2014;All staff compensation as % of total expenditure in public institutions (%);59.3
748;Eswatini;2014;Capital expenditure as % of total expenditure in public institutions (%);4.5
748;Eswatini;2014;Public expenditure on education (% of GDP);7.1
748;Eswatini;2015;Public expenditure on education (% of GDP);5.4
748;Eswatini;2019;Basic access to computers by level of education: Primary;69.7
748;Eswatini;2019;Basic access to computers by level of education: Lower secondary;59
748;Eswatini;2019;Basic access to computers by level of education: Upper secondary;59
748;Eswatini;2019;Public expenditure on education (% of GDP);5.7
748;Eswatini;2022;Public expenditure on education (% of GDP);5.5
