SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
40;Austria;2005;Unemployment rate - Total;5.6;
40;Austria;2005;Labour force participation - Male;66.4;
40;Austria;2005;Unemployment rate - Male;5.4;
40;Austria;2005;Labour force participation - Female;51.3;
40;Austria;2005;Unemployment rate - Female;5.9;
40;Austria;2010;Labour force participation - Total;60.4;
40;Austria;2010;Unemployment rate - Total;4.8;
40;Austria;2010;Labour force participation - Male;67.1;
40;Austria;2010;Unemployment rate - Male;5.0;
40;Austria;2010;Labour force participation - Female;54.2;
40;Austria;2010;Unemployment rate - Female;4.6;
40;Austria;2015;Labour force participation - Total;60.7;
40;Austria;2015;Unemployment rate - Total;5.7;
40;Austria;2015;Labour force participation - Male;66.4;
40;Austria;2015;Unemployment rate - Male;6.1;
40;Austria;2015;Labour force participation - Female;55.4;
40;Austria;2015;Unemployment rate - Female;5.3;
40;Austria;2023;Labour force participation - Total;61.3;
40;Austria;2023;Unemployment rate - Total;4.8;
40;Austria;2023;Labour force participation - Male;66.8;
40;Austria;2023;Unemployment rate - Male;5.0;
40;Austria;2023;Labour force participation - Female;55.9;
40;Austria;2023;Unemployment rate - Female;4.6;
31;Azerbaijan;2005;Labour force participation - Total;66.6;
31;Azerbaijan;2005;Unemployment rate - Total;7.3;
31;Azerbaijan;2005;Labour force participation - Male;70.7;
31;Azerbaijan;2005;Unemployment rate - Male;7.2;
31;Azerbaijan;2005;Labour force participation - Female;62.8;
31;Azerbaijan;2005;Unemployment rate - Female;7.3;
31;Azerbaijan;2010;Labour force participation - Total;60.9;
31;Azerbaijan;2010;Unemployment rate - Total;5.6;
31;Azerbaijan;2010;Labour force participation - Male;62.2;
31;Azerbaijan;2010;Unemployment rate - Male;4.4;
31;Azerbaijan;2010;Labour force participation - Female;59.7;
31;Azerbaijan;2010;Unemployment rate - Female;6.9;
31;Azerbaijan;2015;Labour force participation - Total;63.4;
31;Azerbaijan;2015;Unemployment rate - Total;5.0;
31;Azerbaijan;2015;Labour force participation - Male;66.1;
31;Azerbaijan;2015;Unemployment rate - Male;4.1;
31;Azerbaijan;2015;Labour force participation - Female;61.0;
31;Azerbaijan;2015;Unemployment rate - Female;5.8;
31;Azerbaijan;2023;Labour force participation - Total;65.6;
31;Azerbaijan;2023;Unemployment rate - Total;5.4;
31;Azerbaijan;2023;Labour force participation - Male;68.5;
31;Azerbaijan;2023;Unemployment rate - Male;4.4;
31;Azerbaijan;2023;Labour force participation - Female;63.0;
31;Azerbaijan;2023;Unemployment rate - Female;6.3;
44;Bahamas;2005;Labour force participation - Total;74.9;
44;Bahamas;2005;Unemployment rate - Total;10.2;
44;Bahamas;2005;Labour force participation - Male;81.6;
44;Bahamas;2005;Unemployment rate - Male;9.3;
44;Bahamas;2005;Labour force participation - Female;68.8;
44;Bahamas;2005;Unemployment rate - Female;11.2;
44;Bahamas;2010;Labour force participation - Total;74.2;
44;Bahamas;2010;Unemployment rate - Total;14.3;
44;Bahamas;2010;Labour force participation - Male;81.7;
44;Bahamas;2010;Unemployment rate - Male;14.0;
44;Bahamas;2010;Labour force participation - Female;67.4;
44;Bahamas;2010;Unemployment rate - Female;14.6;
44;Bahamas;2015;Labour force participation - Total;73.6;
44;Bahamas;2015;Unemployment rate - Total;12.0;
44;Bahamas;2015;Labour force participation - Male;81.3;
44;Bahamas;2015;Unemployment rate - Male;11.1;
44;Bahamas;2015;Labour force participation - Female;66.7;
44;Bahamas;2015;Unemployment rate - Female;13.0;
44;Bahamas;2023;Labour force participation - Total;72.4;
44;Bahamas;2023;Unemployment rate - Total;9.6;
44;Bahamas;2023;Labour force participation - Male;79.3;
44;Bahamas;2023;Unemployment rate - Male;9.4;
44;Bahamas;2023;Labour force participation - Female;66.3;
44;Bahamas;2023;Unemployment rate - Female;9.8;
48;Bahrain;2005;Labour force participation - Total;67.9;
48;Bahrain;2005;Unemployment rate - Total;1.1;
48;Bahrain;2005;Labour force participation - Male;84.7;
48;Bahrain;2005;Unemployment rate - Male;0.4;
48;Bahrain;2005;Labour force participation - Female;39.0;
48;Bahrain;2005;Unemployment rate - Female;3.6;
48;Bahrain;2010;Labour force participation - Total;71.8;
48;Bahrain;2010;Unemployment rate - Total;1.1;
48;Bahrain;2010;Labour force participation - Male;87.0;
48;Bahrain;2010;Unemployment rate - Male;0.4;
48;Bahrain;2010;Labour force participation - Female;43.6;
48;Bahrain;2010;Unemployment rate - Female;3.7;
48;Bahrain;2015;Labour force participation - Total;70.9;
48;Bahrain;2015;Unemployment rate - Total;1.2;
48;Bahrain;2015;Labour force participation - Male;86.2;
48;Bahrain;2015;Unemployment rate - Male;0.5;
48;Bahrain;2015;Labour force participation - Female;43.0;
48;Bahrain;2015;Unemployment rate - Female;3.8;
48;Bahrain;2023;Labour force participation - Total;71.9;
48;Bahrain;2023;Unemployment rate - Total;1.4;
48;Bahrain;2023;Labour force participation - Male;86.8;
48;Bahrain;2023;Unemployment rate - Male;0.6;
48;Bahrain;2023;Labour force participation - Female;44.7;
48;Bahrain;2023;Unemployment rate - Female;4.3;
50;Bangladesh;2005;Labour force participation - Total;58.1;
50;Bangladesh;2005;Unemployment rate - Total;4.3;
50;Bangladesh;2005;Labour force participation - Male;86.6;
50;Bangladesh;2005;Unemployment rate - Male;3.3;
50;Bangladesh;2005;Labour force participation - Female;29.0;
50;Bangladesh;2005;Unemployment rate - Female;7.0;
50;Bangladesh;2010;Labour force participation - Total;57.3;
50;Bangladesh;2010;Unemployment rate - Total;3.4;
50;Bangladesh;2010;Labour force participation - Male;84.2;
50;Bangladesh;2010;Unemployment rate - Male;3.0;
50;Bangladesh;2010;Labour force participation - Female;30.8;
50;Bangladesh;2010;Unemployment rate - Female;4.4;
50;Bangladesh;2015;Labour force participation - Total;56.3;
50;Bangladesh;2015;Unemployment rate - Total;4.4;
50;Bangladesh;2015;Labour force participation - Male;80.4;
50;Bangladesh;2015;Unemployment rate - Male;3.1;
50;Bangladesh;2015;Labour force participation - Female;32.8;
50;Bangladesh;2015;Unemployment rate - Female;7.4;
50;Bangladesh;2023;Labour force participation - Total;58.7;
50;Bangladesh;2023;Unemployment rate - Total;4.7;
50;Bangladesh;2023;Labour force participation - Male;80.5;
50;Bangladesh;2023;Unemployment rate - Male;3.5;
50;Bangladesh;2023;Labour force participation - Female;37.7;
50;Bangladesh;2023;Unemployment rate - Female;7.1;
52;Barbados;2005;Labour force participation - Total;69.6;
52;Barbados;2005;Unemployment rate - Total;9.1;
52;Barbados;2005;Labour force participation - Male;75.2;
52;Barbados;2005;Unemployment rate - Male;7.4;
52;Barbados;2005;Labour force participation - Female;64.5;
52;Barbados;2005;Unemployment rate - Female;10.8;
52;Barbados;2010;Labour force participation - Total;67.6;
52;Barbados;2010;Unemployment rate - Total;10.7;
52;Barbados;2010;Labour force participation - Male;72.9;
52;Barbados;2010;Unemployment rate - Male;10.9;
52;Barbados;2010;Labour force participation - Female;62.9;
52;Barbados;2010;Unemployment rate - Female;10.5;
52;Barbados;2015;Labour force participation - Total;64.0;
52;Barbados;2015;Unemployment rate - Total;9.8;
52;Barbados;2015;Labour force participation - Male;67.5;
52;Barbados;2015;Unemployment rate - Male;10.6;
52;Barbados;2015;Labour force participation - Female;60.8;
52;Barbados;2015;Unemployment rate - Female;9.0;
52;Barbados;2023;Labour force participation - Total;60.7;
52;Barbados;2023;Unemployment rate - Total;7.6;
52;Barbados;2023;Labour force participation - Male;63.9;
52;Barbados;2023;Unemployment rate - Male;8.5;
52;Barbados;2023;Labour force participation - Female;57.9;
52;Barbados;2023;Unemployment rate - Female;6.7;
112;Belarus;2005;Labour force participation - Total;60.3;
112;Belarus;2005;Unemployment rate - Total;9.0;
112;Belarus;2005;Labour force participation - Male;66.5;
112;Belarus;2005;Unemployment rate - Male;11.0;
112;Belarus;2005;Labour force participation - Female;55.1;
112;Belarus;2005;Unemployment rate - Female;7.0;
112;Belarus;2010;Labour force participation - Total;62.4;
112;Belarus;2010;Unemployment rate - Total;6.3;
112;Belarus;2010;Labour force participation - Male;68.9;
112;Belarus;2010;Unemployment rate - Male;7.8;
112;Belarus;2010;Labour force participation - Female;57.0;
112;Belarus;2010;Unemployment rate - Female;4.7;
112;Belarus;2015;Labour force participation - Total;63.7;
112;Belarus;2015;Unemployment rate - Total;5.8;
112;Belarus;2015;Labour force participation - Male;70.3;
112;Belarus;2015;Unemployment rate - Male;7.4;
112;Belarus;2015;Labour force participation - Female;58.2;
112;Belarus;2015;Unemployment rate - Female;4.2;
112;Belarus;2023;Labour force participation - Total;62.7;
112;Belarus;2023;Unemployment rate - Total;4.4;
112;Belarus;2023;Labour force participation - Male;69.5;
112;Belarus;2023;Unemployment rate - Male;5.3;
112;Belarus;2023;Labour force participation - Female;57.1;
112;Belarus;2023;Unemployment rate - Female;3.5;
56;Belgium;2005;Labour force participation - Total;53.3;
56;Belgium;2005;Unemployment rate - Total;8.4;
56;Belgium;2005;Labour force participation - Male;61.4;
56;Belgium;2005;Unemployment rate - Male;7.6;
56;Belgium;2005;Labour force participation - Female;45.7;
56;Belgium;2005;Unemployment rate - Female;9.5;
56;Belgium;2010;Labour force participation - Total;54.1;
56;Belgium;2010;Unemployment rate - Total;8.3;
56;Belgium;2010;Labour force participation - Male;60.8;
56;Belgium;2010;Unemployment rate - Male;8.1;
56;Belgium;2010;Labour force participation - Female;47.7;
56;Belgium;2010;Unemployment rate - Female;8.5;
56;Belgium;2015;Labour force participation - Total;53.3;
56;Belgium;2015;Unemployment rate - Total;8.5;
56;Belgium;2015;Labour force participation - Male;58.9;
56;Belgium;2015;Unemployment rate - Male;9.1;
56;Belgium;2015;Labour force participation - Female;48.0;
56;Belgium;2015;Unemployment rate - Female;7.8;
56;Belgium;2023;Labour force participation - Total;54.7;
56;Belgium;2023;Unemployment rate - Total;5.9;
56;Belgium;2023;Labour force participation - Male;59.2;
56;Belgium;2023;Unemployment rate - Male;6.2;
56;Belgium;2023;Labour force participation - Female;50.3;
56;Belgium;2023;Unemployment rate - Female;5.5;
84;Belize;2005;Labour force participation - Total;60.8;
84;Belize;2005;Unemployment rate - Total;10.9;
84;Belize;2005;Labour force participation - Male;79.7;
84;Belize;2005;Unemployment rate - Male;7.5;
84;Belize;2005;Labour force participation - Female;41.8;
84;Belize;2005;Unemployment rate - Female;17.4;
84;Belize;2010;Labour force participation - Total;62.1;
84;Belize;2010;Unemployment rate - Total;8.2;
84;Belize;2010;Labour force participation - Male;79.4;
84;Belize;2010;Unemployment rate - Male;5.8;
84;Belize;2010;Labour force participation - Female;44.9;
84;Belize;2010;Unemployment rate - Female;12.6;
84;Belize;2015;Labour force participation - Total;64.3;
84;Belize;2015;Unemployment rate - Total;7.6;
84;Belize;2015;Labour force participation - Male;80.0;
84;Belize;2015;Unemployment rate - Male;5.5;
84;Belize;2015;Labour force participation - Female;48.6;
84;Belize;2015;Unemployment rate - Female;11.1;
84;Belize;2023;Labour force participation - Total;65.0;
84;Belize;2023;Unemployment rate - Total;10.2;
84;Belize;2023;Labour force participation - Male;79.9;
84;Belize;2023;Unemployment rate - Male;6.9;
84;Belize;2023;Labour force participation - Female;50.2;
84;Belize;2023;Unemployment rate - Female;15.5;
204;Benin;2005;Labour force participation - Total;71.8;
204;Benin;2005;Unemployment rate - Total;0.8;
204;Benin;2005;Labour force participation - Male;77.1;
204;Benin;2005;Unemployment rate - Male;0.9;
204;Benin;2005;Labour force participation - Female;66.7;
204;Benin;2005;Unemployment rate - Female;0.7;
204;Benin;2010;Labour force participation - Total;71.9;
204;Benin;2010;Unemployment rate - Total;1.0;
204;Benin;2010;Labour force participation - Male;74.7;
204;Benin;2010;Unemployment rate - Male;0.9;
204;Benin;2010;Labour force participation - Female;69.1;
204;Benin;2010;Unemployment rate - Female;1.1;
204;Benin;2015;Labour force participation - Total;66.8;
204;Benin;2015;Unemployment rate - Total;2.0;
204;Benin;2015;Labour force participation - Male;71.5;
204;Benin;2015;Unemployment rate - Male;1.8;
204;Benin;2015;Labour force participation - Female;62.2;
204;Benin;2015;Unemployment rate - Female;2.3;
204;Benin;2023;Labour force participation - Total;62.5;
204;Benin;2023;Unemployment rate - Total;1.6;
204;Benin;2023;Labour force participation - Male;68.9;
204;Benin;2023;Unemployment rate - Male;1.4;
204;Benin;2023;Labour force participation - Female;56.2;
204;Benin;2023;Unemployment rate - Female;1.9;
60;Bermuda;2000;Unemployment rate - Total;2.7;
60;Bermuda;2000;Unemployment rate - Male;3.1;
60;Bermuda;2000;Unemployment rate - Female;2.3;
60;Bermuda;2009;Labour force participation - Total;82.0;
60;Bermuda;2009;Unemployment rate - Total;4.5;
60;Bermuda;2009;Labour force participation - Male;86.0;
60;Bermuda;2009;Unemployment rate - Male;6.0;
60;Bermuda;2009;Labour force participation - Female;79.0;
60;Bermuda;2009;Unemployment rate - Female;3.0;
60;Bermuda;2010;Labour force participation - Total;84.0;
60;Bermuda;2010;Labour force participation - Male;87.0;
60;Bermuda;2010;Labour force participation - Female;81.0;
60;Bermuda;2012;Labour force participation - Total;76.1;
60;Bermuda;2012;Unemployment rate - Total;8.4;
60;Bermuda;2012;Labour force participation - Male;80.0;
60;Bermuda;2012;Unemployment rate - Male;8.7;
60;Bermuda;2012;Labour force participation - Female;72.6;
60;Bermuda;2012;Unemployment rate - Female;8.2;
60;Bermuda;2013;Unemployment rate - Total;6.7;
64;Bhutan;2005;Labour force participation - Total;70.0;
64;Bhutan;2005;Unemployment rate - Total;3.1;
64;Bhutan;2005;Labour force participation - Male;74.9;
64;Bhutan;2005;Unemployment rate - Male;2.9;
64;Bhutan;2005;Labour force participation - Female;64.2;
64;Bhutan;2005;Unemployment rate - Female;3.3;
64;Bhutan;2010;Labour force participation - Total;68.2;
64;Bhutan;2010;Unemployment rate - Total;3.3;
64;Bhutan;2010;Labour force participation - Male;72.2;
64;Bhutan;2010;Unemployment rate - Male;2.8;
64;Bhutan;2010;Labour force participation - Female;63.4;
64;Bhutan;2010;Unemployment rate - Female;4.1;
64;Bhutan;2015;Labour force participation - Total;63.1;
64;Bhutan;2015;Unemployment rate - Total;2.5;
64;Bhutan;2015;Labour force participation - Male;70.1;
64;Bhutan;2015;Unemployment rate - Male;1.9;
64;Bhutan;2015;Labour force participation - Female;55.1;
64;Bhutan;2015;Unemployment rate - Female;3.3;
64;Bhutan;2023;Labour force participation - Total;62.2;
64;Bhutan;2023;Unemployment rate - Total;3.5;
64;Bhutan;2023;Labour force participation - Male;69.2;
64;Bhutan;2023;Unemployment rate - Male;2.9;
64;Bhutan;2023;Labour force participation - Female;54.1;
64;Bhutan;2023;Unemployment rate - Female;4.4;
68;Bolivia (Plurin. State of);2005;Labour force participation - Total;70.0;
68;Bolivia (Plurin. State of);2005;Unemployment rate - Total;2.5;
68;Bolivia (Plurin. State of);2005;Labour force participation - Male;79.8;
68;Bolivia (Plurin. State of);2005;Unemployment rate - Male;2.1;
68;Bolivia (Plurin. State of);2005;Labour force participation - Female;60.1;
68;Bolivia (Plurin. State of);2005;Unemployment rate - Female;3.1;
68;Bolivia (Plurin. State of);2010;Labour force participation - Total;72.1;
68;Bolivia (Plurin. State of);2010;Unemployment rate - Total;2.6;
68;Bolivia (Plurin. State of);2010;Labour force participation - Male;81.8;
68;Bolivia (Plurin. State of);2010;Unemployment rate - Male;2.2;
68;Bolivia (Plurin. State of);2010;Labour force participation - Female;62.2;
68;Bolivia (Plurin. State of);2010;Unemployment rate - Female;3.2;
68;Bolivia (Plurin. State of);2015;Labour force participation - Total;67.1;
68;Bolivia (Plurin. State of);2015;Unemployment rate - Total;3.1;
68;Bolivia (Plurin. State of);2015;Labour force participation - Male;79.5;
68;Bolivia (Plurin. State of);2015;Unemployment rate - Male;2.6;
68;Bolivia (Plurin. State of);2015;Labour force participation - Female;54.6;
68;Bolivia (Plurin. State of);2015;Unemployment rate - Female;3.8;
68;Bolivia (Plurin. State of);2023;Labour force participation - Total;69.9;
68;Bolivia (Plurin. State of);2023;Unemployment rate - Total;4.6;
68;Bolivia (Plurin. State of);2023;Labour force participation - Male;80.1;
68;Bolivia (Plurin. State of);2023;Unemployment rate - Male;4.1;
68;Bolivia (Plurin. State of);2023;Labour force participation - Female;59.8;
68;Bolivia (Plurin. State of);2023;Unemployment rate - Female;5.2;
70;Bosnia and Herzegovina;2005;Labour force participation - Total;43.2;
70;Bosnia and Herzegovina;2005;Unemployment rate - Total;30.1;
70;Bosnia and Herzegovina;2005;Labour force participation - Male;56.6;
70;Bosnia and Herzegovina;2005;Unemployment rate - Male;27.9;
70;Bosnia and Herzegovina;2005;Labour force participation - Female;30.8;
70;Bosnia and Herzegovina;2005;Unemployment rate - Female;33.9;
70;Bosnia and Herzegovina;2010;Labour force participation - Total;45.7;
70;Bosnia and Herzegovina;2010;Unemployment rate - Total;27.3;
70;Bosnia and Herzegovina;2010;Labour force participation - Male;58.2;
70;Bosnia and Herzegovina;2010;Unemployment rate - Male;25.7;
70;Bosnia and Herzegovina;2010;Labour force participation - Female;34.0;
70;Bosnia and Herzegovina;2010;Unemployment rate - Female;29.9;
70;Bosnia and Herzegovina;2015;Labour force participation - Total;46.3;
70;Bosnia and Herzegovina;2015;Unemployment rate - Total;27.7;
70;Bosnia and Herzegovina;2015;Labour force participation - Male;57.8;
70;Bosnia and Herzegovina;2015;Unemployment rate - Male;25.8;
70;Bosnia and Herzegovina;2015;Labour force participation - Female;35.4;
70;Bosnia and Herzegovina;2015;Unemployment rate - Female;30.7;
70;Bosnia and Herzegovina;2023;Labour force participation - Total;49.2;
70;Bosnia and Herzegovina;2023;Unemployment rate - Total;14.6;
70;Bosnia and Herzegovina;2023;Labour force participation - Male;59.9;
70;Bosnia and Herzegovina;2023;Unemployment rate - Male;12.4;
70;Bosnia and Herzegovina;2023;Labour force participation - Female;39.0;
70;Bosnia and Herzegovina;2023;Unemployment rate - Female;17.7;
72;Botswana;2005;Labour force participation - Total;58.6;
72;Botswana;2005;Unemployment rate - Total;19.8;
72;Botswana;2005;Labour force participation - Male;66.2;
72;Botswana;2005;Unemployment rate - Male;17.7;
72;Botswana;2005;Labour force participation - Female;51.7;
72;Botswana;2005;Unemployment rate - Female;22.3;
72;Botswana;2010;Labour force participation - Total;59.1;
72;Botswana;2010;Unemployment rate - Total;17.9;
72;Botswana;2010;Labour force participation - Male;66.1;
72;Botswana;2010;Unemployment rate - Male;14.7;
72;Botswana;2010;Labour force participation - Female;52.7;
72;Botswana;2010;Unemployment rate - Female;21.6;
72;Botswana;2015;Labour force participation - Total;61.8;
72;Botswana;2015;Unemployment rate - Total;19.3;
72;Botswana;2015;Labour force participation - Male;68.0;
72;Botswana;2015;Unemployment rate - Male;16.9;
72;Botswana;2015;Labour force participation - Female;56.0;
72;Botswana;2015;Unemployment rate - Female;22.0;
72;Botswana;2023;Labour force participation - Total;64.9;
72;Botswana;2023;Unemployment rate - Total;20.8;
72;Botswana;2023;Labour force participation - Male;70.0;
72;Botswana;2023;Unemployment rate - Male;18.9;
72;Botswana;2023;Labour force participation - Female;60.0;
72;Botswana;2023;Unemployment rate - Female;22.9;
76;Brazil;2005;Labour force participation - Total;66.6;
76;Brazil;2005;Unemployment rate - Total;10.6;
76;Brazil;2005;Labour force participation - Male;78.0;
76;Brazil;2005;Unemployment rate - Male;8.0;
76;Brazil;2005;Labour force participation - Female;55.6;
76;Brazil;2005;Unemployment rate - Female;14.0;
76;Brazil;2010;Labour force participation - Total;64.5;
76;Brazil;2010;Unemployment rate - Total;8.0;
76;Brazil;2010;Labour force participation - Male;76.0;
76;Brazil;2010;Unemployment rate - Male;5.9;
76;Brazil;2010;Labour force participation - Female;53.7;
76;Brazil;2010;Unemployment rate - Female;11.0;
76;Brazil;2015;Labour force participation - Total;63.7;
76;Brazil;2015;Unemployment rate - Total;8.6;
76;Brazil;2015;Labour force participation - Male;75.1;
76;Brazil;2015;Unemployment rate - Male;7.2;
76;Brazil;2015;Labour force participation - Female;52.9;
76;Brazil;2015;Unemployment rate - Female;10.3;
76;Brazil;2023;Labour force participation - Total;62.7;
76;Brazil;2023;Unemployment rate - Total;9.1;
76;Brazil;2023;Labour force participation - Male;72.7;
76;Brazil;2023;Unemployment rate - Male;7.3;
76;Brazil;2023;Labour force participation - Female;53.3;
76;Brazil;2023;Unemployment rate - Female;11.4;
96;Brunei Darussalam;2005;Labour force participation - Total;67.3;
96;Brunei Darussalam;2005;Unemployment rate - Total;6.0;
96;Brunei Darussalam;2005;Labour force participation - Male;77.5;
96;Brunei Darussalam;2005;Unemployment rate - Male;5.2;
96;Brunei Darussalam;2005;Labour force participation - Female;56.1;
96;Brunei Darussalam;2005;Unemployment rate - Female;7.4;
96;Brunei Darussalam;2010;Labour force participation - Total;66.6;
96;Brunei Darussalam;2010;Unemployment rate - Total;6.6;
96;Brunei Darussalam;2010;Labour force participation - Male;76.0;
96;Brunei Darussalam;2010;Unemployment rate - Male;5.8;
96;Brunei Darussalam;2010;Labour force participation - Female;56.3;
96;Brunei Darussalam;2010;Unemployment rate - Female;7.7;
96;Brunei Darussalam;2015;Labour force participation - Total;64.0;
96;Brunei Darussalam;2015;Unemployment rate - Total;7.7;
96;Brunei Darussalam;2015;Labour force participation - Male;71.1;
96;Brunei Darussalam;2015;Unemployment rate - Male;7.0;
96;Brunei Darussalam;2015;Labour force participation - Female;56.3;
96;Brunei Darussalam;2015;Unemployment rate - Female;8.6;
96;Brunei Darussalam;2023;Labour force participation - Total;64.2;
96;Brunei Darussalam;2023;Unemployment rate - Total;7.0;
96;Brunei Darussalam;2023;Labour force participation - Male;72.1;
96;Brunei Darussalam;2023;Unemployment rate - Male;6.0;
96;Brunei Darussalam;2023;Labour force participation - Female;55.8;
96;Brunei Darussalam;2023;Unemployment rate - Female;8.5;
100;Bulgaria;2005;Labour force participation - Total;49.7;
100;Bulgaria;2005;Unemployment rate - Total;10.1;
100;Bulgaria;2005;Labour force participation - Male;55.4;
100;Bulgaria;2005;Unemployment rate - Male;10.3;
100;Bulgaria;2005;Labour force participation - Female;44.4;
100;Bulgaria;2005;Unemployment rate - Female;9.8;
100;Bulgaria;2010;Labour force participation - Total;53.4;
100;Bulgaria;2010;Unemployment rate - Total;10.3;
100;Bulgaria;2010;Labour force participation - Male;59.5;
100;Bulgaria;2010;Unemployment rate - Male;10.9;
100;Bulgaria;2010;Labour force participation - Female;47.8;
100;Bulgaria;2010;Unemployment rate - Female;9.6;
100;Bulgaria;2015;Labour force participation - Total;54.1;
100;Bulgaria;2015;Unemployment rate - Total;9.1;
100;Bulgaria;2015;Labour force participation - Male;60.0;
100;Bulgaria;2015;Unemployment rate - Male;9.8;
100;Bulgaria;2015;Labour force participation - Female;48.6;
100;Bulgaria;2015;Unemployment rate - Female;8.4;
100;Bulgaria;2023;Labour force participation - Total;57.2;
100;Bulgaria;2023;Unemployment rate - Total;4.2;
100;Bulgaria;2023;Labour force participation - Male;63.7;
100;Bulgaria;2023;Unemployment rate - Male;4.5;
100;Bulgaria;2023;Labour force participation - Female;51.1;
100;Bulgaria;2023;Unemployment rate - Female;3.9;
854;Burkina Faso;2005;Labour force participation - Total;73.6;
854;Burkina Faso;2005;Unemployment rate - Total;4.0;
854;Burkina Faso;2005;Labour force participation - Male;85.8;
854;Burkina Faso;2005;Unemployment rate - Male;3.5;
854;Burkina Faso;2005;Labour force participation - Female;62.0;
854;Burkina Faso;2005;Unemployment rate - Female;4.7;
854;Burkina Faso;2010;Labour force participation - Total;69.3;
854;Burkina Faso;2010;Unemployment rate - Total;3.6;
854;Burkina Faso;2010;Labour force participation - Male;80.2;
854;Burkina Faso;2010;Unemployment rate - Male;3.3;
854;Burkina Faso;2010;Labour force participation - Female;58.9;
854;Burkina Faso;2010;Unemployment rate - Female;4.1;
854;Burkina Faso;2015;Labour force participation - Total;65.6;
854;Burkina Faso;2015;Unemployment rate - Total;4.3;
854;Burkina Faso;2015;Labour force participation - Male;73.8;
854;Burkina Faso;2015;Unemployment rate - Male;4.2;
854;Burkina Faso;2015;Labour force participation - Female;57.7;
854;Burkina Faso;2015;Unemployment rate - Female;4.5;
854;Burkina Faso;2023;Labour force participation - Total;65.3;
854;Burkina Faso;2023;Unemployment rate - Total;5.2;
854;Burkina Faso;2023;Labour force participation - Male;72.9;
854;Burkina Faso;2023;Unemployment rate - Male;5.2;
854;Burkina Faso;2023;Labour force participation - Female;58.0;
854;Burkina Faso;2023;Unemployment rate - Female;5.2;
108;Burundi;2005;Labour force participation - Total;80.5;
108;Burundi;2005;Unemployment rate - Total;3.2;
108;Burundi;2005;Labour force participation - Male;79.1;
108;Burundi;2005;Unemployment rate - Male;4.1;
108;Burundi;2005;Labour force participation - Female;81.9;
108;Burundi;2005;Unemployment rate - Female;2.4;
108;Burundi;2010;Labour force participation - Total;79.5;
108;Burundi;2010;Unemployment rate - Total;1.6;
108;Burundi;2010;Labour force participation - Male;78.0;
108;Burundi;2010;Unemployment rate - Male;2.1;
108;Burundi;2010;Labour force participation - Female;81.0;
108;Burundi;2010;Unemployment rate - Female;1.1;
108;Burundi;2015;Labour force participation - Total;79.3;
108;Burundi;2015;Unemployment rate - Total;1.5;
108;Burundi;2015;Labour force participation - Male;77.8;
108;Burundi;2015;Unemployment rate - Male;1.9;
108;Burundi;2015;Labour force participation - Female;80.7;
108;Burundi;2015;Unemployment rate - Female;1.1;
108;Burundi;2023;Labour force participation - Total;79.8;
108;Burundi;2023;Unemployment rate - Total;1.0;
108;Burundi;2023;Labour force participation - Male;78.0;
108;Burundi;2023;Unemployment rate - Male;1.0;
108;Burundi;2023;Labour force participation - Female;81.5;
108;Burundi;2023;Unemployment rate - Female;1.0;
132;Cabo Verde;2005;Labour force participation - Total;59.6;
132;Cabo Verde;2005;Unemployment rate - Total;10.9;
132;Cabo Verde;2005;Labour force participation - Male;74.0;
132;Cabo Verde;2005;Unemployment rate - Male;10.5;
132;Cabo Verde;2005;Labour force participation - Female;46.0;
132;Cabo Verde;2005;Unemployment rate - Female;11.5;
132;Cabo Verde;2010;Labour force participation - Total;59.1;
132;Cabo Verde;2010;Unemployment rate - Total;10.7;
132;Cabo Verde;2010;Labour force participation - Male;70.4;
132;Cabo Verde;2010;Unemployment rate - Male;10.3;
132;Cabo Verde;2010;Labour force participation - Female;48.1;
132;Cabo Verde;2010;Unemployment rate - Female;11.2;
132;Cabo Verde;2015;Labour force participation - Total;59.2;
132;Cabo Verde;2015;Unemployment rate - Total;11.8;
132;Cabo Verde;2015;Labour force participation - Male;67.6;
132;Cabo Verde;2015;Unemployment rate - Male;11.4;
132;Cabo Verde;2015;Labour force participation - Female;50.9;
132;Cabo Verde;2015;Unemployment rate - Female;12.3;
132;Cabo Verde;2023;Labour force participation - Total;56.4;
132;Cabo Verde;2023;Unemployment rate - Total;13.5;
132;Cabo Verde;2023;Labour force participation - Male;62.7;
132;Cabo Verde;2023;Unemployment rate - Male;13.9;
132;Cabo Verde;2023;Labour force participation - Female;50.3;
132;Cabo Verde;2023;Unemployment rate - Female;13.0;
116;Cambodia;2005;Labour force participation - Total;73.8;
116;Cambodia;2005;Unemployment rate - Total;1.1;
116;Cambodia;2005;Labour force participation - Male;79.2;
116;Cambodia;2005;Unemployment rate - Male;1.1;
116;Cambodia;2005;Labour force participation - Female;68.8;
116;Cambodia;2005;Unemployment rate - Female;1.2;
116;Cambodia;2010;Labour force participation - Total;69.6;
116;Cambodia;2010;Unemployment rate - Total;0.8;
116;Cambodia;2010;Labour force participation - Male;76.0;
116;Cambodia;2010;Unemployment rate - Male;0.8;
116;Cambodia;2010;Labour force participation - Female;63.5;
116;Cambodia;2010;Unemployment rate - Female;0.8;
116;Cambodia;2015;Labour force participation - Total;71.5;
116;Cambodia;2015;Unemployment rate - Total;0.4;
